symbol,date,open,high,low,close,volume,adjusted
^DJI;,05/05/2020,23958.88,24169.72,23868.91,23883.09,369710000.00,23883.09
^DJI;,06/05/2020,23978.88,24054.59,23661.14,23664.64,377450000.00,23664.64
^DJI;,07/05/2020,23837.21,24094.62,23834.39,23875.89,369890000.00,23875.89
^DJI;,08/05/2020,24107.82,24349.90,24107.05,24331.32,335760000.00,24331.32
^DJI;,11/05/2020,24256.45,24366.21,24070.22,24221.99,352400000.00,24221.99
^DJI;,12/05/2020,24292.84,24382.09,23761.58,23764.78,359480000.00,23764.78
^DJI;,13/05/2020,23702.16,23708.90,23067.64,23247.97,469950000.00,23247.97
^DJI;,14/05/2020,23049.06,23630.86,22789.62,23625.34,472700000.00,23625.34
^DJI;,15/05/2020,23454.83,23730.08,23354.15,23685.42,491510000.00,23685.42
^DJI;,18/05/2020,24059.98,24708.54,24059.98,24597.37,484190000.00,24597.37
^DJI;,19/05/2020,24577.48,24599.50,24202.96,24206.86,374100000.00,24206.86
^DJI;,20/05/2020,24455.94,24649.48,24455.94,24575.90,366510000.00,24575.90
^DJI;,21/05/2020,24564.27,24718.46,24370.88,24474.12,346770000.00,24474.12
^DJI;,22/05/2020,24461.98,24481.64,24294.07,24465.16,255660000.00,24465.16
^DJI;,26/05/2020,24781.84,25176.42,24781.84,24995.11,424380000.00,24995.11
^DJI;,27/05/2020,25298.63,25551.56,25009.87,25548.27,411230000.00,25548.27
^DJI;,28/05/2020,25697.36,25758.79,25358.73,25400.64,377800000.00,25400.64
^DJI;,29/05/2020,25324.15,25482.80,25031.67,25383.11,527620000.00,25383.11
^DJI;,01/06/2020,25342.99,25508.83,25220.66,25475.02,338310000.00,25475.02
^DJI;,02/06/2020,25582.52,25743.13,25523.74,25742.65,352610000.00,25742.65
^DJI;,03/06/2020,25906.88,26337.75,25906.88,26269.89,398790000.00,26269.89
^DJI;,04/06/2020,26226.49,26384.10,26082.31,26281.82,372190000.00,26281.82
